CODUG,SIGLA,CMA,CIDADE/ESTADO
160054,11ª I C F Ex,CMP,Brasília/DF
160055,16º B Log,CMP,Brasília/DF
160056,2º CGEO,CMP,Brasília/DF
160057,3º Esqd C Mec,CMP,Brasília/DF
160058,32º GAC,CMP,Brasília/DF
160059,BGP,CMP,Brasília/DF
160060,BPEB,CMP,Brasília/DF
160062,CIE,CMP,Brasília/DF
160063,C P Ex,CMP,Brasília/DF
160064,CMB,CMP,Brasília/DF
160065,Cmdo 11ª RM,CMP,Brasília/DF
160066,CRO/11,CMP,Brasília/DF
160067,DEC,CMP,Brasília/DF
160068,DECEX,CML,Rio de Janeiro/RJ
160069,COLOG,CMP,Brasília/DF
160070,DGP,CMP,Brasília/DF
160072,11º D Sup,CMP,Brasília/DF
160073,DGO,CMP,Brasília/DF
160074,Pq R Mnt/8,CMN,Belém/PA
160075,D Cont,CMP,Brasília/DF
160076,DCT,CMP,Brasília/DF
160077,CMC,CMS,Curitiba/PR
160078,CMCG,CMO,Campo Grande/MS
160079,CMSM,CMS,Santa Maria/RS
160081,23º Esqd C Sl,CMN,Tucuruí/PA
160082,PMB,CMP,Brasília/DF
160083,GRAF EX - EGGCF,CMP,Brasília/DF
160084,CMR,CMNE,Recife/PE
160085,EME,CMP,Brasília/DF
160086,Gab Cmt Ex,CMP,Brasília/DF
160087,EME (UO Cmdo Ex),CMP,Brasília/DF
160088,HMAB,CMP,Brasília/DF
160089,SEF,CMP,Brasília/DF
160090,SGEx,CMP,Brasília/DF
160091,CITEx,CMP,Brasília/DF
160093,38º BI,CML,Vila Velha/ES
160094,C E B W,,Whashington/DC/USA
160095,58º BI Mtz,CMO,Aragarças/GO
160098,Ba Adm / C Op Esp,CMP,Goiânia/GO
160100,Cmdo 3ª Bda Inf Mtz,CMP,Cristalina/GO
160101,23ª Cia E Cmb,CMP,Ipameri/GO
160102,41º BI Mtz,CMP,Jataí/GO
160103,50º BIS,CMN,Imperatriz/MA
160105,24º BIS,CMN,São Luís/MA
160106,2º B Fv,CMP,Araguari/MG
160108,12º BIL Mth,CML,Belo Horizonte/MG
160109,4ª Cia Com L Mth,CML,Belo Horizonte/MG
160110,CMJF,CML,Juiz de Fora/MG
